state,date,total_enrolment,monthly_growth,child_ratio,youth_ratio,adult_ratio,demo_update_pressure,biometric_update_pressure
Andaman and Nicobar Islands,2025-10-18,5,0.0,0.8,0.2,0.0,10.0,0.0
Andaman and Nicobar Islands,2025-10-19,3,0.25,0.75,0.25,0.0,1.0,0.0
Andaman and Nicobar Islands,2025-10-24,7,0.26666666666666666,0.6666666666666666,0.3333333333333333,0.0,13.0,0.0
Andaman and Nicobar Islands,2025-10-25,3,0.25,1.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,2025-10-26,2,0.0,1.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2025-03-20,116,0.27450980392156854,0.3624434389140272,0.37858220211161386,0.25897435897435894,0.0,0.0
Andhra Pradesh,2025-06-01,1574,0.4226104861462746,0.5481016930038621,0.3030586788364999,0.14883962815963794,46035.0,508472.0
Andhra Pradesh,2025-07-01,956,0.3986492109322128,0.48616005977870563,0.382213126923796,0.13162681329749845,28339.0,334226.0
Andhra Pradesh,2025-09-01,2254,0.3943016788573369,0.8769092646283606,0.11963352222807944,0.003457213143560007,7050.0,11079.0
Andhra Pradesh,2025-09-02,2275,0.4181923547907519,0.8772064879811985,0.10973325675017571,0.013060255268625705,6930.0,14076.0
Andhra Pradesh,2025-09-03,2166,0.3936427278172561,0.8743843761060742,0.11659904299055242,0.009016580903373357,8754.0,17844.0
Andhra Pradesh,2025-09-04,1862,0.34736750576872777,0.8827284335940141,0.1080680238521379,0.009203542553848053,4009.0,11621.0
Andhra Pradesh,2025-09-05,778,0.20612052730696798,0.9208934923624189,0.0781648880518937,0.0009416195856873823,3092.0,3660.0
Andhra Pradesh,2025-09-06,1987,0.3940807455306836,0.8810354659991806,0.11066653074736148,0.008298003253457852,6313.0,13090.0
Andhra Pradesh,2025-09-07,171,0.196,0.9106666666666666,0.08133333333333333,0.008,559.0,494.0
Andhra Pradesh,2025-09-08,2461,0.3850003976518354,0.8737220366252625,0.1204923406061926,0.00578562276854497,3461.0,12174.0
Andhra Pradesh,2025-09-09,2289,0.39943522731078696,0.8696183810357039,0.12183050982263581,0.008551109141660322,6704.0,13497.0
Andhra Pradesh,2025-09-10,2038,0.362017427017427,0.8840479312354312,0.10652097902097903,0.009431089743589744,5470.0,18064.0
Andhra Pradesh,2025-09-11,1798,0.3718869065838763,0.8441045009984404,0.1441951623012229,0.0117003367003367,5517.0,12712.0
Andhra Pradesh,2025-09-12,2031,0.3261667047811626,0.8693740997957866,0.12063207876460888,0.009993821439604571,4838.0,13099.0
Andhra Pradesh,2025-09-13,1098,0.25270342879992,0.872986954565902,0.12262708052181737,0.0043859649122807015,2014.0,6503.0
Andhra Pradesh,2025-09-14,152,0.23316498316498316,0.9356902356902358,0.054208754208754206,0.010101010101010102,493.0,710.0
Andhra Pradesh,2025-09-15,1712,0.33004630940768015,0.867197827556083,0.12480947286243237,0.007992699581484628,7567.0,14574.0
Andhra Pradesh,2025-09-16,1897,0.3538311157588879,0.8561865821530115,0.13283108323800083,0.010982334608987713,6945.0,13034.0
Andhra Pradesh,2025-09-17,1749,0.33974011664512704,0.8829174536898963,0.10967127282367366,0.007411273486430062,6839.0,13149.0
Andhra Pradesh,2025-09-18,1621,0.3020038424108191,0.8713392227927111,0.1172090506392832,0.011451726568005638,6180.0,12765.0
Andhra Pradesh,2025-09-19,1442,0.28447367927887407,0.8918212739641311,0.09834007983358632,0.009838646202282567,6635.0,11917.0
Andhra Pradesh,2025-09-20,1323,0.2582708414921129,0.9060430977607016,0.08824266944682592,0.005714232792472401,2932.0,0.0
Andhra Pradesh,2025-09-21,23,0.0,0.8260869565217391,0.08695652173913043,0.08695652173913043,0.0,0.0
Andhra Pradesh,2025-09-22,1232,0.27291627762216,0.880845004668534,0.1126844070961718,0.006470588235294118,0.0,0.0
Andhra Pradesh,2025-09-23,1356,0.2749961108697168,0.8466420712703241,0.14131637672529865,0.012041552004377284,0.0,0.0
Andhra Pradesh,2025-09-24,1591,0.31655354049563406,0.8889286598083925,0.1053178138367448,0.0057535263548626585,0.0,0.0
Andhra Pradesh,2025-09-25,1449,0.323006756108328,0.8766856682213393,0.11545459780042609,0.007859733978234583,0.0,0.0
Andhra Pradesh,2025-09-26,998,0.2508902691511387,0.8776471458148476,0.11750813368825792,0.0048447204968944104,0.0,0.0
Andhra Pradesh,2025-09-27,357,0.18343659644774885,0.8381660470879801,0.15207558859975215,0.009758364312267658,0.0,0.0
Andhra Pradesh,2025-09-28,23,0.047619047619047616,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0
Andhra Pradesh,2025-09-29,188,0.06387225548902195,0.8502994011976048,0.1497005988023952,0.0,0.0,0.0
Andhra Pradesh,2025-09-30,32,0.016666666666666666,0.5666666666666667,0.4,0.03333333333333333,0.0,0.0
Andhra Pradesh,2025-10-13,1901,0.34913803644272395,0.8941259586767399,0.10108888507326007,0.00478515625,1407.0,0.0
Andhra Pradesh,2025-10-15,1643,0.30742477417870084,0.8818537803092777,0.10561567867850591,0.012530541012216404,3330.0,0.0
Andhra Pradesh,2025-10-16,979,0.2079492713264643,0.8964854265292862,0.09693562610229277,0.006578947368421052,3134.0,0.0
Andhra Pradesh,2025-10-17,3367,0.47404616670284416,0.8846088269630507,0.11296869241679434,0.0024224806201550387,2827.0,0.0
Andhra Pradesh,2025-10-18,1924,0.32776244333737264,0.9106192869859222,0.08890945947967625,0.000471253534401508,6210.0,0.0
Andhra Pradesh,2025-10-19,1694,0.38714166740028805,0.906527109544351,0.09347289045564908,0.0,2667.0,0.0
Andhra Pradesh,2025-10-20,330,0.10294117647058823,0.8774509803921569,0.12254901960784315,0.0,938.0,0.0
Andhra Pradesh,2025-10-21,226,0.11378708551483421,0.7958115183246073,0.08900523560209424,0.11518324607329843,520.0,0.0
Andhra Pradesh,2025-10-22,3,0.0,0.6666666666666666,0.0,0.3333333333333333,80.0,0.0
Andhra Pradesh,2025-10-23,11,0.0,0.2727272727272727,0.0,0.7272727272727273,193.0,0.0
Andhra Pradesh,2025-10-24,1845,0.32545708966501047,0.8906586153120806,0.09845029557900845,0.01089108910891089,5416.0,0.0
Andhra Pradesh,2025-10-25,2850,0.3818036754177468,0.8833370104031261,0.11660559749402725,5.73921028466483e-05,3852.0,0.0
Andhra Pradesh,2025-10-26,612,0.19050035236081747,0.8230831571529246,0.1769168428470754,0.0,0.0,0.0
Arunachal Pradesh,2025-07-01,484,3.831325301204819,0.3163927530571162,0.582219150917886,0.10138809602499774,0.0,8442.0
Arunachal Pradesh,2025-09-01,118,1.0997544269300223,0.5796640141467728,0.42033598585322723,0.0,311.0,241.0
Arunachal Pradesh,2025-09-02,122,0.5074070537305831,0.613572701807996,0.3864272981920041,0.0,146.0,377.0
Arunachal Pradesh,2025-09-03,94,1.4454365079365081,0.5971031746031746,0.4028968253968254,0.0,474.0,627.0
Arunachal Pradesh,2025-09-04,109,1.119376350145581,0.4521461444538367,0.5478538555461632,0.0,303.0,583.0
Arunachal Pradesh,2025-09-05,69,0.61324354657688,0.6237934904601572,0.3762065095398429,0.0,363.0,421.0
Arunachal Pradesh,2025-09-06,58,1.8716666666666666,0.5289583333333333,0.47104166666666664,0.0,135.0,162.0
Arunachal Pradesh,2025-09-07,58,3.9425287356321843,0.6306818181818182,0.2784090909090909,0.09090909090909091,62.0,88.0
Arunachal Pradesh,2025-09-08,108,1.1321452833850931,0.6637470885093167,0.3362529114906832,0.0,100.0,446.0
Arunachal Pradesh,2025-09-09,117,1.620032679738562,0.5674789915966386,0.43252100840336133,0.0,402.0,486.0
Arunachal Pradesh,2025-09-10,73,1.2099047619047618,0.43333333333333335,0.5466666666666666,0.02,256.0,634.0
Arunachal Pradesh,2025-09-11,77,0.9097222222222222,0.6379629629629631,0.36203703703703705,0.0,174.0,400.0
Arunachal Pradesh,2025-09-12,65,0.4901234567901235,0.5351851851851852,0.46481481481481485,0.0,218.0,391.0
Arunachal Pradesh,2025-09-13,67,2.1816849816849815,0.3353479853479853,0.6509157509157509,0.013736263736263734,7.0,112.0
Arunachal Pradesh,2025-09-14,25,1.6210526315789473,0.21052631578947367,0.7894736842105263,0.0,25.0,42.0
Arunachal Pradesh,2025-09-15,81,1.5573270975056688,0.41695011337868476,0.5830498866213152,0.0,359.0,471.0
Arunachal Pradesh,2025-09-16,105,1.3575036075036075,0.568001443001443,0.43199855699855694,0.0,321.0,517.0
Arunachal Pradesh,2025-09-17,18,0.17592592592592593,0.2777777777777778,0.7222222222222222,0.0,129.0,278.0
Arunachal Pradesh,2025-09-18,33,0.2685185185185185,0.7824074074074074,0.2175925925925926,0.0,258.0,452.0
Arunachal Pradesh,2025-09-19,53,1.028907496012759,0.4844497607655503,0.5155502392344498,0.0,226.0,626.0
Arunachal Pradesh,2025-09-20,33,0.9122222222222223,0.538888888888889,0.4611111111111111,0.0,26.0,0.0
Arunachal Pradesh,2025-09-21,2,-0.33333333333333337,0.5,0.5,0.0,0.0,0.0
Arunachal Pradesh,2025-09-22,25,0.12745098039215685,0.5294117647058824,0.47058823529411764,0.0,0.0,0.0
Arunachal Pradesh,2025-09-23,27,0.2888888888888889,0.5888888888888889,0.41111111111111115,0.0,0.0,0.0
Arunachal Pradesh,2025-09-24,38,0.4258928571428572,0.5866071428571429,0.4133928571428571,0.0,0.0,0.0
Arunachal Pradesh,2025-09-25,29,0.18627450980392157,0.6176470588235294,0.38235294117647056,0.0,0.0,0.0
Arunachal Pradesh,2025-09-26,46,0.4257575757575758,0.5553030303030303,0.4446969696969697,0.0,0.0,0.0
Arunachal Pradesh,2025-09-27,20,0.6476190476190476,0.47619047619047616,0.5,0.023809523809523808,0.0,0.0
Arunachal Pradesh,2025-09-29,52,0.7659420289855072,0.391304347826087,0.6086956521739131,0.0,0.0,0.0
Arunachal Pradesh,2025-09-30,52,0.9476190476190476,0.3142857142857143,0.6857142857142857,0.0,0.0,0.0
Arunachal Pradesh,2025-10-13,54,0.3904761904761905,0.3145833333333333,0.6854166666666667,0.0,67.0,0.0
Arunachal Pradesh,2025-10-15,74,0.9619047619047619,0.4389194139194139,0.5610805860805861,0.0,154.0,0.0
Arunachal Pradesh,2025-10-16,62,1.0763235294117648,0.2876470588235294,0.7123529411764705,0.0,113.0,0.0
Arunachal Pradesh,2025-10-17,94,0.8968509984639017,0.4773425499231951,0.522657450076805,0.0,86.0,0.0
Arunachal Pradesh,2025-10-18,50,0.32933333333333337,0.6686666666666666,0.3313333333333333,0.0,76.0,0.0
Arunachal Pradesh,2025-10-19,32,0.7326839826839827,0.38365800865800864,0.5984848484848485,0.017857142857142856,17.0,0.0
Arunachal Pradesh,2025-10-20,16,0.1111111111111111,0.5833333333333334,0.4166666666666667,0.0,19.0,0.0
Arunachal Pradesh,2025-10-21,14,0.0,0.5714285714285714,0.42857142857142855,0.0,35.0,0.0
Arunachal Pradesh,2025-10-22,1,0.0,1.0,0.0,0.0,4.0,0.0
Arunachal Pradesh,2025-10-23,1,0.0,1.0,0.0,0.0,6.0,0.0
Arunachal Pradesh,2025-10-24,86,0.6746913580246914,0.5328703703703703,0.4671296296296296,0.0,179.0,0.0
Arunachal Pradesh,2025-10-25,86,0.8881818181818182,0.6544949494949495,0.3455050505050505,0.0,92.0,0.0
Arunachal Pradesh,2025-10-26,48,0.5311791383219955,0.43424036281179135,0.5657596371882087,0.0,46.0,0.0
Assam,2025-03-15,455,0.3303026575414635,0.25661729975291475,0.2689116260590785,0.47447107418800677,0.0,0.0
Assam,2025-03-20,2037,0.1355941473377047,0.24678025792385816,0.4762240290952707,0.27699571298087117,0.0,0.0
Assam,2025-04-01,25654,0.4361008808543949,0.43693607714443033,0.35345171101610046,0.2096122118394692,1685.0,139659.0
Assam,2025-05-01,13197,0.4936522675444554,0.4080687939841395,0.3680745909483179,0.22385661506754254,0.0,83841.0
Assam,2025-06-01,9734,0.4238558085243021,0.47373849422037523,0.3462033098712618,0.18005819590836303,1346.0,71576.0
Assam,2025-07-01,47873,0.8599489465581273,0.5691225448609623,0.26654211379434006,0.16433534134469766,14757.0,95172.0
Assam,2025-09-01,3629,1.4417724963938712,0.6725535796676108,0.3026122571295686,0.024834163202820638,7095.0,4476.0
Assam,2025-09-02,3619,1.351053723993309,0.6439460624902333,0.33157086609416936,0.024483071415597288,4314.0,4941.0
Assam,2025-09-03,2654,1.3228651160311162,0.6961498887336084,0.2851312939002797,0.018718817366111955,4546.0,4826.0
Assam,2025-09-04,2879,1.34848324658535,0.6688167767605775,0.3110776968865655,0.020105526352857006,5194.0,6806.0
Assam,2025-09-05,2342,1.2568507218290947,0.6920358582959332,0.287709715099827,0.020254426604239775,4095.0,4609.0
Assam,2025-09-06,2737,1.1128282211689895,0.6474585958712726,0.32774505819009686,0.024796345938630508,3666.0,5699.0
Assam,2025-09-07,650,0.6857436556580189,0.6534430337193726,0.3327500887276684,0.013806877552959057,1206.0,841.0
Assam,2025-09-08,3453,1.4792272670254467,0.680879224396497,0.3017926484270303,0.017328127176472766,2824.0,5536.0
Assam,2025-09-09,3039,1.1370589202796046,0.6628758070340046,0.31263709440304605,0.02448709856294934,4032.0,7123.0
Assam,2025-09-10,2931,1.1695607451665322,0.6681991831464942,0.3064127854123344,0.025388031441171337,5541.0,9031.0
Assam,2025-09-11,2421,1.223829914079186,0.6629645440910857,0.3151918805407487,0.021843575368165533,1759.0,6448.0
Assam,2025-09-12,1875,0.9623657126842727,0.6548827953729242,0.32444522433657286,0.020671980290502955,1233.0,4494.0
Assam,2025-09-13,1720,1.0584814586349496,0.6358615134575777,0.34075685919893706,0.02338162734348522,1320.0,4014.0
Assam,2025-09-14,473,0.6581773878016652,0.6660778688235336,0.3310319577660618,0.002890173410404624,835.0,954.0
Assam,2025-09-15,1781,0.8479674760759002,0.6364888469212551,0.3534487407436053,0.010062412335139609,5631.0,6035.0
Assam,2025-09-16,1892,1.0614903397896982,0.6431838432315377,0.3392476973221226,0.01756845944633963,4027.0,5368.0
Assam,2025-09-17,1153,1.0935621839686478,0.676720142894659,0.3106872645127484,0.012592592592592593,2124.0,3194.0
Assam,2025-09-18,1763,0.9642547672956225,0.6696773041671198,0.31380894549913424,0.016513750333745966,6163.0,5403.0
Assam,2025-09-19,1863,0.9277161068028424,0.6866816323641058,0.2944160527223433,0.018902314913550867,6281.0,5825.0
Assam,2025-09-20,898,0.8426660040816042,0.7001042374893726,0.29137303523790015,0.008522727272727272,1869.0,0.0
Assam,2025-09-21,88,0.44063492063492066,0.6796825396825397,0.3146031746031746,0.005714285714285714,0.0,0.0
Assam,2025-09-22,645,0.9724569778406411,0.7067137070849941,0.2932862929150058,0.0,0.0,0.0
Assam,2025-09-23,551,0.9687911369812888,0.6434726534451521,0.33735063972753865,0.019176706827309237,0.0,0.0
Assam,2025-09-24,1638,0.9596716544707808,0.6898451797752974,0.2960046706360713,0.014150149588631263,0.0,0.0
Assam,2025-09-25,1809,1.0123003571660694,0.6884978505919571,0.30517529007031097,0.0063268593377319325,0.0,0.0
Assam,2025-09-26,1238,0.8289486542426454,0.6940051049544811,0.30020470430982404,0.0057901907356948225,0.0,0.0
Assam,2025-09-27,478,0.5370920486574692,0.6496458240617119,0.3324414033526183,0.01791277258566978,0.0,0.0
Assam,2025-09-28,107,0.2742857142857143,0.5085347985347985,0.4760805860805861,0.015384615384615385,0.0,0.0
Assam,2025-09-29,209,0.35356089338390223,0.44635482511588703,0.5329962073324905,0.02064896755162242,0.0,0.0
Assam,2025-09-30,104,0.47363163656267104,0.48165024630541875,0.5183497536945813,0.0,0.0,0.0
Assam,2025-10-13,2467,0.9483829404200645,0.6284536009663934,0.2519352328706443,0.11961116616296232,1721.0,0.0
Assam,2025-10-15,2024,0.8116066502507296,0.622650227222959,0.2880904849149404,0.08925928786210062,2979.0,0.0
Assam,2025-10-16,1377,0.7115112938580396,0.6068370490583215,0.29413782103976266,0.09902512990191582,2532.0,0.0
Assam,2025-10-17,3452,1.2632470014027306,0.6358028160606537,0.3050486192799972,0.05914856465934914,2299.0,0.0
Assam,2025-10-18,1662,0.8682006444569559,0.6976018619087457,0.2841508760939923,0.018247261997261996,3158.0,0.0
Assam,2025-10-19,1206,0.7184901789787242,0.722239123020498,0.2563202805389056,0.02144059644059644,1669.0,0.0
Assam,2025-10-20,644,0.5059642584949174,0.7161012461521711,0.20936989636844136,0.07452885747938752,721.0,0.0
Assam,2025-10-21,375,0.3226667063823027,0.6813455657492354,0.24339231105286152,0.07526212319790301,333.0,0.0
Assam,2025-10-22,15,0.038461538461538464,0.5384615384615384,0.07692307692307693,0.38461538461538464,66.0,0.0
Assam,2025-10-23,352,0.9497997372997373,0.03273809523809524,0.041666666666666664,0.9255952380952381,162.0,0.0
Assam,2025-10-24,1827,0.96193962965982,0.6346343523989191,0.2556830646343776,0.10968258296670333,2560.0,0.0
Assam,2025-10-25,1625,1.02406973260547,0.6584595279411878,0.3334915741621985,0.008048897896613633,952.0,0.0
Assam,2025-10-26,548,0.4971497689985085,0.5497553566881298,0.4265101495143512,0.023734493797519008,2163.0,0.0
Bihar,2025-03-09,1005,0.1522277744151826,0.21773178267581914,0.5973805061543094,0.18488771116987146,0.0,0.0
Bihar,2025-03-15,448,-0.05376203287324649,0.1800397526811579,0.6225655647440889,0.1973946825747533,0.0,0.0
Bihar,2025-03-20,247,0.42553877919731575,0.23976642147373853,0.45973028777906827,0.3005032907471932,0.0,0.0
Bihar,2025-03-23,85,0.0625,0.4,0.4823529411764706,0.11764705882352941,0.0,0.0
Bihar,2025-03-27,567,0.0008323040260640272,0.2548083974919223,0.5306381043352184,0.21455349817285932,0.0,0.0
Bihar,2025-04-01,29442,0.4407425874273521,0.3782771327972759,0.5519750430892846,0.06974782411343956,7650.0,795719.0
Bihar,2025-05-01,31651,0.45594459653963415,0.41380543575425044,0.5412866212210832,0.04490794302466636,5096.0,552199.0
Bihar,2025-06-01,46386,0.3006030979509823,0.3528225112448968,0.6013427161797442,0.04583477257535895,0.0,494457.0
Bihar,2025-07-01,59274,0.17949953025094603,0.31992187760623086,0.6400099045830695,0.04006821781069959,5924.0,604061.0
Bihar,2025-09-01,7948,1.2755695657682444,0.38138584396014874,0.6132645868003335,0.0053495692395177106,28534.0,24590.0
Bihar,2025-09-02,8425,1.2858259304764472,0.37812891231589096,0.6136461131720798,0.008224974512029207,22079.0,16042.0
Bihar,2025-09-03,7538,1.2614108170982983,0.4177693315039488,0.5751026428440643,0.007128025651986827,31870.0,21673.0
Bihar,2025-09-04,6117,1.140745998235314,0.40233983885309493,0.5913790051475808,0.006281155999324299,33666.0,22146.0
Bihar,2025-09-05,2474,0.9503304483887307,0.4144778979284623,0.5686744692427268,0.016847632828810938,19418.0,5586.0
Bihar,2025-09-06,6923,1.1882875483366662,0.41671101601343,0.5744994824391999,0.00878950154737,24868.0,19454.0
Bihar,2025-09-07,1541,1.0165683429251395,0.42721503035581104,0.5576205990376183,0.015164370606570688,12503.0,1661.0
Bihar,2025-09-08,7869,1.418948847721858,0.4508093390960987,0.5445491994289375,0.00464146147496379,30595.0,19911.0
Bihar,2025-09-09,8259,1.3796968764115825,0.4330738985607963,0.5638533378990601,0.003072763540143603,38172.0,25357.0
Bihar,2025-09-10,7705,1.3846867269200531,0.46392142204888137,0.5289593591345159,0.007119218816602829,44495.0,31832.0
Bihar,2025-09-11,6685,1.3391137950216483,0.4367798067557641,0.5571284115141998,0.006091781730036141,13158.0,21886.0
Bihar,2025-09-12,7306,1.1703744517725612,0.41609778761445015,0.5795237774931663,0.004378434892383607,13677.0,23784.0
Bihar,2025-09-13,4435,1.125941930655796,0.441892158923319,0.5475863728661202,0.0105214682105607,8082.0,15525.0
Bihar,2025-09-14,1203,0.7902002142488377,0.5060757744483703,0.48057155681652475,0.013352668735104996,7856.0,2042.0
Bihar,2025-09-15,4459,1.0557859866732096,0.4136868456466377,0.5813835237378339,0.004929630615528396,21941.0,20937.0
Bihar,2025-09-16,5089,1.10662364424414,0.42766154307665183,0.5662361954044294,0.006102261518918769,21461.0,20318.0
Bihar,2025-09-17,3117,1.061868149604372,0.4537871262873578,0.5337247445578464,0.01248812915479582,5792.0,12055.0
Bihar,2025-09-18,5554,1.0964698209822155,0.44605822393912176,0.5468059566122984,0.007135819448579892,24271.0,22747.0
Bihar,2025-09-19,5434,1.2382516735874003,0.4318823207090564,0.5615260606396311,0.006591618651312461,26570.0,22430.0
Bihar,2025-09-20,4822,1.1229852573333194,0.4071357015333786,0.5819618890644355,0.010902409402185845,11973.0,0.0
Bihar,2025-09-21,646,0.5698664728129014,0.3141334558298844,0.6496165441701156,0.036250000000000004,0.0,0.0
Bihar,2025-09-22,4619,1.0504342753985736,0.3896681224571865,0.5998937700494416,0.010438107493371927,0.0,0.0
Bihar,2025-09-23,5786,1.1105136426067281,0.42825167781512413,0.5662941339013169,0.005454188283559034,0.0,0.0
Bihar,2025-09-24,6279,1.297902700915204,0.4703659261938014,0.5232847989051221,0.006349274901076478,0.0,0.0
Bihar,2025-09-25,5914,1.3234933439647603,0.4749088695459841,0.5200010713266946,0.0050900591273212665,0.0,0.0
Bihar,2025-09-26,4200,0.9863496698601629,0.475318401963808,0.5216490668538164,0.0030325311823755485,0.0,0.0
Bihar,2025-09-27,1853,0.6257488004501958,0.4284991722489397,0.5602455896558222,0.011255238095238096,0.0,0.0
Bihar,2025-09-28,444,0.4860435772758048,0.4131065222297449,0.5669523604357728,0.019941117334482263,0.0,0.0
Bihar,2025-09-29,751,0.37131822425940075,0.2798573975044563,0.6933600713012478,0.026782531194295897,0.0,0.0
Bihar,2025-09-30,170,0.31728070175438594,0.09473684210526316,0.8731578947368421,0.032105263157894734,0.0,0.0
Bihar,2025-10-13,11529,1.8175773622133673,0.4440281026978988,0.5310561177071434,0.024915779594957842,7430.0,0.0
Bihar,2025-10-15,8981,1.5869504666042438,0.42120962488156627,0.5432000587172099,0.0355903164012239,14142.0,0.0
Bihar,2025-10-16,4891,0.9868470080296381,0.38173279047456643,0.5610785112350642,0.057188698290369246,11958.0,0.0
Bihar,2025-10-17,19448,2.232980769967786,0.47619298275414945,0.5159639045523224,0.007843112693528062,11195.0,0.0
Bihar,2025-10-18,8371,1.4765772027956297,0.44561960319397137,0.5414843063215903,0.012896090484438351,20000.0,0.0
Bihar,2025-10-19,5726,1.2612641474030737,0.4811572881367044,0.5126965093922179,0.00614620247107773,8643.0,0.0
